#,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%,HOF
1,Kevin Durant,897,36.7,27.1,9.2,18.6,49.6,1.9,4.9,38.5,6.7,7.6,88.2,0.7,6.4,7.1,4.2,1.1,1.1,3.1,54.6,61.6,0
2,LeBron James,1316,38.2,27,9.8,19.5,50.4,1.5,4.4,34.5,5.8,7.9,73.4,1.2,6.3,7.4,7.4,1.6,0.8,3.5,54.3,58.6,0
3,James Harden,890,34.4,25.1,7.4,16.7,44.4,2.8,7.7,36.4,7.5,8.7,85.8,0.8,4.7,5.5,6.6,1.6,0.5,3.7,52.8,61.1,0
4,Damian Lillard,695,36.3,24.6,8.1,18.4,43.8,3,8,37.3,5.5,6.1,89.3,0.6,3.6,4.2,6.6,1,0.3,2.8,51.9,58.2,0
5,Stephen Curry,774,34.3,24.3,8.3,17.5,47.6,3.7,8.7,43.2,3.8,4.2,90.8,0.7,3.9,4.6,6.5,1.7,0.2,3.1,58.3,62.7,0
6,Anthony Davis,577,34.4,23.9,8.9,17.3,51.4,0.5,1.6,30.7,5.6,7,79.8,2.5,7.7,10.2,2.3,1.4,2.3,2,52.8,58.5,0
7,Russell Westbrook,956,34.7,23.1,8.2,18.8,43.7,1.1,3.7,30.5,5.5,7,78.9,1.7,5.7,7.4,8.5,1.7,0.3,4.1,46.7,52.8,0
8,Devin Booker,420,33.5,22.9,8,17.6,45.4,1.9,5.5,35.2,5,5.8,86.9,0.5,3.3,3.8,4.7,0.8,0.3,3.3,51,57,0
9,KarlNaNAnthony Towns,419,34.3,22.9,8.5,16.2,52.6,1.6,4,39.8,4.3,5.1,83.6,3.1,8.5,11.6,3,0.8,1.4,2.6,57.5,62.1,0
10,Carmelo Anthony,1204,35,22.9,8.2,18.3,44.7,1.3,3.8,35.6,5.2,6.3,81.4,1.6,4.7,6.3,2.8,1,0.5,2.5,48.4,54.2,0
11,Kyrie Irving,582,33.9,22.8,8.4,17.9,47,2.2,5.6,39.1,3.8,4.4,88.1,0.8,3,3.8,5.7,1.3,0.4,2.6,53.1,57.6,0
12,Bradley Beal,615,34.7,22,8,17.6,45.5,2.3,6,37.4,3.8,4.6,82.3,0.9,3.2,4.1,4.1,1.1,0.4,2.4,52,56.2,0
13,Giannis Antetokounmpo,601,32.5,21,7.7,14.5,53.1,0.7,2.3,28.7,5,7,71.6,1.7,7.5,9.2,4.5,1.2,1.3,2.8,55.4,59.9,0
14,Blake Griffin,680,34,20.7,7.7,15.6,49.4,0.7,2.2,32.9,4.5,6.5,69.5,2.1,6.5,8.5,4.3,0.9,0.5,2.5,51.7,55.9,0
15,Paul George,717,33.5,20.3,6.9,15.8,43.7,2.5,6.5,38.3,4,4.7,84.8,0.9,5.5,6.4,3.5,1.7,0.4,2.7,51.6,56.8,0
16,DeMar DeRozan,893,34.1,20.2,7.2,15.7,46.1,0.4,1.5,28.2,5.3,6.4,83.4,0.7,3.6,4.4,3.8,1,0.3,2,47.4,54.6,0
